type;categorie;titre;lien;resume;date;source;prix;image
Article;Militarization of AI;AI, Warfare, and Augmented Cities;https://smallwarsjournal.com/2026/04/03/ai-warfare-and-augmented-cities/;The diffusion of Artificial Intelligence (AI) technologies is transforming both the urban environment and warfare. Thus, cities are becoming “surface of attacks” in the context of “AI augmented warfare”. But Cities are also being “AI augmented”. Thus, they support the diffusion of the competing Chinese and US AI technologies. This means that nowadays, the interactions between AI, war, and urban environments are changing the geopolitical status of cities.;03/04/2026;Small Wars Journal;;
Article;Militarization of AI;The Iran War: A War With or Against the AI Sector?;https://smallwarsjournal.com/2026/04/10/the-iran-war/;AI is at the heart of the Iran war. On one hand, the US and Israeli militaries use AI technologies massively in order to wage war against Iran. However, Iran retaliates and strikes the Persian Gulf countries. Iran strikes targets, among others, AI infrastructures, while directly threatening the offices and the staff of the US AI companies. And on a larger scale, the economic and energetic consequences of the war threaten the very development of the AI sector.;10/04/2026;Small Wars Journal;;
Article;Militarization of AI;Cognitive Warfare: A New Strategic Frontier?;https://smallwarsjournal.com/2026/06/04/cognitive-warfare-a-strategic-frontier/;The rise of cognitive warfare is deeply linked to the proliferation of conflicts since 2022. In this context, it appears that the Red Sea war has literally been a matrix for new ways of cognitive and kinetic warfare ecology. In the same dynamic, the weaponization of narratives is now being used as a major tool of political and strategic influence, as shown by Russia’s offensive against France.;04/06/2026;Small Wars Journal;;
Article;US-China Conflicts;La guerre des missiles de l’Ukraine à Israël : le levier caché de Pékin sur le Pentagone;https://legrandcontinent.eu/fr/2025/10/09/guerre-chine-etats-unis-missiles/;"Les États-Unis ont un problème de stocks — et Xi Jinping l’a très bien compris.
En arsenalisant certains minéraux critiques, en armant l’Iran, la « géo-bureaucratie » chinoise s’attaque à l’intimité du complexe militaro-industriel américain et exerce une pression constante sur sa production.";09/10/2025;Le Grand Continent;;
Article;US-China Conflicts;Vers la grande guerre entre la Chine et les États-Unis (première partie);https://legrandcontinent.eu/fr/2025/04/23/grande-guerre-chine-etats-unis-1/;"De part et d’autre du Pacifique, deux géants se préparent au combat.
Des millions de drones, des milliers de bâteaux, des satellites, des datacenters et des tarifs… Les coordonnées de l’affrontement sont, en partie, déjà là. Il faut les étudier de près pour comprendre à quoi pourrait ressembler une guerre ouverte. 
Premier épisode d’une vaste enquête signée Jean-Michel Valantin.";23/04/2025;Le Grand Continent;;
Article;US-China Conflicts;Des terres rares au fentanyl : vers la Grande Guerre entre la Chine et les États-Unis (deuxième partie);https://legrandcontinent.eu/fr/2025/05/13/grande-guerre-chine-etats-unis-2/;"Des hommes en armes patrouillent en rangs serrés à la frontière.
Des navires bloqués dans des ports.
Un opioïde létal qui pourrait devenir une arme de destruction massive.
Entre le Pentagone et la Californie, des contrats de plus en plus en gros, de plus en plus profitables.
Deuxième volet de notre vaste enquête sur les formes de la guerre qui vient.";13/05/2025;Le Grand Continent;;
Article;US-China Conflicts;La bataille de Taïwan : comment la Chine et les États-Unis préparent la guerre de haute intensité (troisième partie);https://legrandcontinent.eu/fr/?s=valantin;"Des bâteaux de pêcheurs aux coques d’acier, connectés au même GPS satellitaire que l’Armée populaire de libération.
Une chaîne de petits récifs perdus dans l’océan où l’on construit des bases.
Des câbles sectionnés. Des nouveaux porte-avions. Des hélicoptères de combat.
Troisième volet de notre enquête sur les formes de la guerre qui vient.";05/06/2025;Le Grand Continent;;
Article;Militarization of AI;L’IA aux racines de la guerre : grammaire d’une nouvelle géopolitique;https://legrandcontinent.eu/fr/2025/01/07/lia-aux-racines-de-la-guerre/;"Des écrans de smartphone aux drones, des usines aux partis politiques en passant par les avions, le déploiement de l’IA à l’échelle mondiale est en train de disrupter la puissance. Dans un monde cassé, la course à l’intelligence des modèles oblige à puiser de nouvelles ressources géologiques, scientifiques, financières.
Comment l’Europe peut-elle éviter de subir brutalement cette révolution ?
Plongée au cœur de l’hyperguerre.";07/01/2025;Le Grand Continent;;
Article;Geopolitics of Climate Change;Entre guerre et climat, géopolitique d’El Niño. Première partie : l’Europe en état d’hyper siège;https://legrandcontinent.eu/fr/2024/01/29/entre-guerre-et-climat-geopolitique-del-nino-premiere-partie-leurope-en-etat-dhyper-siege/;"La révolte des agriculteurs en Europe est-elle la conséquence du phénomène climatique El Niño ?
Depuis 2022, de l’Ukraine à Gaza en passant par le Yémen, la guerre s’étend. En 2023, de nouvelles limites planétaires ont été franchies. El Niño est au croisement de ces crises. Alors que l’embrasement guerrier et le réchauffement climatique épuisent nos modèles de croissance et à l’heure où les agriculteurs entrent en rébellion partout sur le continent, Jean-Michel Valantin lance une vaste étude sur les conséquences géopolitiques d’El Niño. Premier épisode : l’Europe.";29/01/2024;Le Grand Continent;;
Article;Geopolitics of Climate Change;Chine, Russie, énergie : le fragile alignement;https://legrandcontinent.eu/fr/2023/06/05/chine-russie-energie-le-fragile-alignement/;"Comment Xi Jinping intègre-t-il Moscou à sa stratégie globale ? La guerre en Ukraine et ses conséquences pour les exportations russes sont une aubaine alors que la Chine et sa « civilisation écologique » cherche à s’émanciper du charbon. Mais le cœur de l’amitié que se sont jurés Xi Jinping et Vladimir Poutine a la forme d'un échafaudage fragile et chancelant — la sécurité énergétique.
Deuxième volet de l'enquête de Jean-Michel Valantin consacrée à la grande stratégie chinoise sur une planète déréglée.";05/06/2023;Le Grand Continent;;
